Titre du bulletin (ANSSI),Type de bulletin,Date de publication,Identifiant CVE,Score CVSS,Type CWE,Score EPSS,Lien du bulletin (ANSSI),Description,Editeur/Vendor,Produit,Versions affectees
Multiples vulnérabilités dans les produits Cisco (25 avril 2024),Alerte,"Thu, 25 Apr 2024 00:00:00 +0000",CVE-2024-20353,8.6,CWE-835,0.159890000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,"A vulnerability in the management and VPN web servers for Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause the device to reload unexpectedly, resulting in a denial of service (DoS) condition.
 This vulnerability is due to incomplete error checking when parsing an HTTP header. An attacker could exploit this vulnerability by sending a crafted HTTP request to a targeted web server on a device. A successful exploit could allow the attacker to cause a DoS condition when the device reloads.",Cisco,Non disponible,"9.8.1, 9.8.1.5, 9.8.1.7, 9.8.2, 9.8.2.8, 9.8.2.14, 9.8.2.15, 9.8.2.17, 9.8.2.20, 9.8.2.24, 9.8.2.26, 9.8.2.28, 9.8.2.33, 9.8.2.35, 9.8.2.38, 9.8.3.8, 9.8.3.11, 9.8.3.14, 9.8.3.16, 9.8.3.18, 9.8.3.21, 9.8.3, 9.8.3.26, 9.8.3.29, 9.8.4, 9.8.4.3, 9.8.4.7, 9.8.4.8, 9.8.4.10, 9.8.4.12, 9.8.4.15, 9.8.4.17, 9.8.4.25, 9.8.4.20, 9.8.4.22, 9.8.4.26, 9.8.4.29, 9.8.4.32, 9.8.4.33, 9.8.4.34, 9.8.4.35, 9.8.4.39, 9.8.4.40, 9.8.4.41, 9.8.4.43, 9.8.4.44, 9.8.4.45, 9.8.4.46, 9.8.4.48, 9.12.1, 9.12.1.2, 9.12.1.3, 9.12.2, 9.12.2.4, 9.12.2.5, 9.12.2.9, 9.12.3, 9.12.3.2, 9.12.3.7, 9.12.4, 9.12.3.12, 9.12.3.9, 9.12.2.1, 9.12.4.2, 9.12.4.4, 9.12.4.7, 9.12.4.10, 9.12.4.13, 9.12.4.8, 9.12.4.18, 9.12.4.24, 9.12.4.26, 9.12.4.29, 9.12.4.30, 9.12.4.35, 9.12.4.37, 9.12.4.38, 9.12.4.39, 9.12.4.40, 9.12.4.41, 9.12.4.47, 9.12.4.48, 9.12.4.50, 9.12.4.52, 9.12.4.54, 9.12.4.55, 9.12.4.56, 9.12.4.58, 9.12.4.62, 9.12.4.65, 9.14.1, 9.14.1.10, 9.14.1.6, 9.14.1.15, 9.14.1.19, 9.14.1.30, 9.14.2, 9.14.2.4, 9.14.2.8, 9.14.2.13, 9.14.2.15, 9.14.3, 9.14.3.1, 9.14.3.9, 9.14.3.11, 9.14.3.13, 9.14.3.18, 9.14.3.15, 9.14.4, 9.14.4.6, 9.14.4.7, 9.14.4.12, 9.14.4.13, 9.14.4.14, 9.14.4.15, 9.14.4.17, 9.14.4.22, 9.14.4.23, 9.15.1, 9.15.1.7, 9.15.1.10, 9.15.1.15, 9.15.1.16, 9.15.1.17, 9.15.1.1, 9.15.1.21, 9.16.1, 9.16.1.28, 9.16.2, 9.16.2.3, 9.16.2.7, 9.16.2.11, 9.16.2.13, 9.16.2.14, 9.16.3, 9.16.3.3, 9.16.3.14, 9.16.3.15, 9.16.3.19, 9.16.3.23, 9.16.4, 9.16.4.9, 9.16.4.14, 9.16.4.18, 9.16.4.19, 9.16.4.27, 9.16.4.38, 9.16.4.39, 9.16.4.42, 9.16.4.48, 9.16.4.55, 9.17.1, 9.17.1.7, 9.17.1.9, 9.17.1.10, 9.17.1.11, 9.17.1.13, 9.17.1.15, 9.17.1.20, 9.17.1.30, 9.17.1.33, 9.18.1, 9.18.1.3, 9.18.2, 9.18.2.5, 9.18.2.7, 9.18.2.8, 9.18.3, 9.18.3.39, 9.18.3.46, 9.18.3.53, 9.18.3.55, 9.18.3.56, 9.18.4, 9.18.4.5, 9.18.4.8, 9.19.1, 9.19.1.5, 9.19.1.9, 9.19.1.12, 9.19.1.18, 9.19.1.22, 9.19.1.24, 9.19.1.27, 9.20.1, 9.20.1.5, 9.20.2"
Multiples vulnérabilités dans les produits Cisco (25 avril 2024),Alerte,"Thu, 25 Apr 2024 00:00:00 +0000",CVE-2024-20353,8.6,CWE-835,0.159890000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,"A vulnerability in the management and VPN web servers for Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause the device to reload unexpectedly, resulting in a denial of service (DoS) condition.
 This vulnerability is due to incomplete error checking when parsing an HTTP header. An attacker could exploit this vulnerability by sending a crafted HTTP request to a targeted web server on a device. A successful exploit could allow the attacker to cause a DoS condition when the device reloads.",Cisco,Non disponible,"6.2.3, 6.2.3.1, 6.2.3.2, 6.2.3.3, 6.2.3.4, 6.2.3.5, 6.2.3.6, 6.2.3.7, 6.2.3.8, 6.2.3.10, 6.2.3.11, 6.2.3.9, 6.2.3.12, 6.2.3.13, 6.2.3.14, 6.2.3.15, 6.2.3.16, 6.2.3.17, 6.2.3.18, 6.6.0, 6.6.0.1, 6.6.1, 6.6.3, 6.6.4, 6.6.5, 6.6.5.1, 6.6.5.2, 6.6.7, 6.6.7.1, 6.4.0, 6.4.0.1, 6.4.0.3, 6.4.0.2, 6.4.0.4, 6.4.0.5, 6.4.0.6, 6.4.0.7, 6.4.0.8, 6.4.0.9, 6.4.0.10, 6.4.0.11, 6.4.0.12, 6.4.0.13, 6.4.0.14, 6.4.0.15, 6.4.0.16, 6.4.0.17, 6.7.0, 6.7.0.1, 6.7.0.2, 6.7.0.3, 7.0.0, 7.0.0.1, 7.0.1, 7.0.1.1, 7.0.2, 7.0.2.1, 7.0.3, 7.0.4, 7.0.5, 7.0.6, 7.0.6.1, 7.1.0, 7.1.0.1, 7.1.0.2, 7.1.0.3, 7.2.0, 7.2.0.1, 7.2.1, 7.2.2, 7.2.3, 7.2.4, 7.2.4.1, 7.2.5, 7.2.5.1, 7.3.0, 7.3.1, 7.3.1.1, 7.4.0, 7.4.1"
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Non disponible,Non disponible,8.5p1
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,Non disponible
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,Non disponible
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,Non disponible
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,Non disponible
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,Non disponible
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,Non disponible
Vulnérabilité dans OpenSSH (01 juillet 2024),Alerte,"Mon, 01 Jul 2024 00:00:00 +0000",CVE-2024-6387,Non disponible,CWE-364,0.533790000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",Red Hat,Non disponible,Non disponible
Multiples vulnérabilités dans Roundcube (09 août 2024),Alerte,"Fri, 09 Aug 2024 00:00:00 +0000",CVE-2024-42009,Non disponible,Non disponible,0.906710000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,A Cross-Site Scripting vulnerability in Roundcube through 1.5.7 and 1.6.x through 1.6.7 allows a remote attacker to steal and send emails of a victim via a crafted e-mail message that abuses a Desanitization issue in message_body() in program/actions/mail/show.php.,n/a,Non disponible,n/a
Multiples vulnérabilités dans Roundcube (09 août 2024),Alerte,"Fri, 09 Aug 2024 00:00:00 +0000",CVE-2024-42008,Non disponible,Non disponible,0.555140000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,A Cross-Site Scripting vulnerability in rcmail_action_mail_get->run() in Roundcube through 1.5.7 and 1.6.x through 1.6.7 allows a remote attacker to steal and send emails of a victim via a malicious e-mail attachment served with a dangerous Content-Type header.,n/a,Non disponible,n/a
Vulnérabilité dans SonicWall (10 septembre 2024),Alerte,"Tue, 10 Sep 2024 00:00:00 +0000",CVE-2024-40766,Non disponible,CWE-284,0.070430000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/,"An improper access control vulnerability has been identified in the SonicWall SonicOS management access, potentially leading to unauthorized resource access and in specific conditions, causing the firewall to crash. This issue affects SonicWall Firewall Gen 5 and Gen 6 devices, as well as Gen 7 devices running SonicOS 7.0.1-5035 and older versions.",SonicWall,Non disponible,"5.9.2.14-12o and older versions, 6.5.4.14-109n and older versions, 7.0.1-5035 and older versions"
Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),Alerte,"Tue, 22 Oct 2024 00:00:00 +0000",CVE-2024-8190,7.2,CWE-78,0.919350000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,An OS command injection vulnerability in Ivanti Cloud Services Appliance versions 4.6 Patch 518 and before allows a remote authenticated attacker to obtain remote code execution. The attacker must have admin level privileges to exploit this vulnerability.,Ivanti,Non disponible,
[MàJ] Multiples vulnérabilités dans Fortinet FortiManager (23 octobre 2024),Alerte,"Wed, 23 Oct 2024 00:00:00 +0000",CVE-2024-50566,7.2,CWE-78,0.006440000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-014/,"A improper neutralization of special elements used in an os command ('os command injection') in Fortinet FortiManager versions 7.6.0 through 7.6.1, versions 7.4.5 through 7.4.0, and versions 7.2.1 through 7.2.8, FortiManager Cloud versions 7.6.0 through 7.6.1, versions 7.4.0 through 7.4.4, and versions 7.2.2 through 7.2.7 may allow an authenticated remote attacker to execute unauthorized code via FGFM crafted requests.",Fortinet,Non disponible,"7.6.0, 7.4.0, 7.2.1"
[MàJ] Vulnérabilité dans les produits Ivanti (09 janvier 2025),Alerte,"Thu, 09 Jan 2025 00:00:00 +0000",CVE-2025-0282,9,CWE-121,0.941050000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,"A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.5, Ivanti Policy Secure before version 22.7R1.2, and Ivanti Neurons for ZTA gateways before version 22.7R2.3 allows a remote unauthenticated attacker to achieve remote code execution.",Ivanti,Non disponible,22.7R2
[MàJ] Vulnérabilité dans les produits Ivanti (09 janvier 2025),Alerte,"Thu, 09 Jan 2025 00:00:00 +0000",CVE-2025-0282,9,CWE-121,0.941050000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,"A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.5, Ivanti Policy Secure before version 22.7R1.2, and Ivanti Neurons for ZTA gateways before version 22.7R2.3 allows a remote unauthenticated attacker to achieve remote code execution.",Ivanti,Non disponible,22.7R1
[MàJ] Vulnérabilité dans les produits Ivanti (09 janvier 2025),Alerte,"Thu, 09 Jan 2025 00:00:00 +0000",CVE-2025-0282,9,CWE-121,0.941050000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,"A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.5, Ivanti Policy Secure before version 22.7R1.2, and Ivanti Neurons for ZTA gateways before version 22.7R2.3 allows a remote unauthenticated attacker to achieve remote code execution.",Ivanti,Non disponible,22.7R2
[MàJ] Vulnérabilité dans les produits Fortinet (14 janvier 2025),Alerte,"Tue, 14 Jan 2025 00:00:00 +0000",CVE-2024-55591,9.6,CWE-288,0.941430000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-002/,An Authentication Bypass Using an Alternate Path or Channel vulnerability [CWE-288] affecting FortiOS version 7.0.0 through 7.0.16 and FortiProxy version 7.0.0 through 7.0.19 and 7.2.0 through 7.2.12 allows a remote attacker to gain super-admin privileges via crafted requests to Node.js websocket module.,Fortinet,Non disponible,7.0.0
[MàJ] Vulnérabilité dans les produits Fortinet (14 janvier 2025),Alerte,"Tue, 14 Jan 2025 00:00:00 +0000",CVE-2024-55591,9.6,CWE-288,0.941430000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-002/,An Authentication Bypass Using an Alternate Path or Channel vulnerability [CWE-288] affecting FortiOS version 7.0.0 through 7.0.16 and FortiProxy version 7.0.0 through 7.0.19 and 7.2.0 through 7.2.12 allows a remote attacker to gain super-admin privileges via crafted requests to Node.js websocket module.,Fortinet,Non disponible,"7.2.0, 7.0.0"
Vulnérabilité dans SAP NetWeaver (28 avril 2025),Alerte,"Mon, 28 Apr 2025 00:00:00 +0000",CVE-2025-31324,10,CWE-434,0.439110000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-005/,"SAP NetWeaver Visual Composer Metadata Uploader is not protected with a proper authorization, allowing unauthenticated agent to upload potentially malicious executable binaries that could severely harm the host system. This could significantly affect the confidentiality, integrity, and availability of the targeted system.",SAP_SE,Non disponible,VCFRAMEWORK 7.50
Vulnérabilité dans les produits Fortinet (13 mai 2025),Alerte,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-32756,9.6,CWE-121,0.205810000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-006/,"A stack-based buffer overflow vulnerability [CWE-121] in Fortinet FortiVoice versions 7.2.0, 7.0.0 through 7.0.6, 6.4.0 through 6.4.10, FortiRecorder versions 7.2.0 through 7.2.3, 7.0.0 through 7.0.5, 6.4.0 through 6.4.5, FortiMail versions 7.6.0 through 7.6.2, 7.4.0 through 7.4.4, 7.2.0 through 7.2.7, 7.0.0 through 7.0.8, FortiNDR versions 7.6.0, 7.4.0 through 7.4.7, 7.2.0 through 7.2.4, 7.0.0 through 7.0.6, FortiCamera versions 2.1.0 through 2.1.3, 2.0 all versions, 1.1 all versions, allows a remote unauthenticated attacker to execute arbitrary code or commands via sending HTTP requests with specially crafted hash cookie.",Fortinet,Non disponible,"7.2.0, 7.0.0, 6.4.0"
Vulnérabilité dans les produits Fortinet (13 mai 2025),Alerte,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-32756,9.6,CWE-121,0.205810000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-006/,"A stack-based buffer overflow vulnerability [CWE-121] in Fortinet FortiVoice versions 7.2.0, 7.0.0 through 7.0.6, 6.4.0 through 6.4.10, FortiRecorder versions 7.2.0 through 7.2.3, 7.0.0 through 7.0.5, 6.4.0 through 6.4.5, FortiMail versions 7.6.0 through 7.6.2, 7.4.0 through 7.4.4, 7.2.0 through 7.2.7, 7.0.0 through 7.0.8, FortiNDR versions 7.6.0, 7.4.0 through 7.4.7, 7.2.0 through 7.2.4, 7.0.0 through 7.0.6, FortiCamera versions 2.1.0 through 2.1.3, 2.0 all versions, 1.1 all versions, allows a remote unauthenticated attacker to execute arbitrary code or commands via sending HTTP requests with specially crafted hash cookie.",Fortinet,Non disponible,"7.2.0, 7.0.0, 6.4.0"
Vulnérabilité dans les produits Fortinet (13 mai 2025),Alerte,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-32756,9.6,CWE-121,0.205810000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-006/,"A stack-based buffer overflow vulnerability [CWE-121] in Fortinet FortiVoice versions 7.2.0, 7.0.0 through 7.0.6, 6.4.0 through 6.4.10, FortiRecorder versions 7.2.0 through 7.2.3, 7.0.0 through 7.0.5, 6.4.0 through 6.4.5, FortiMail versions 7.6.0 through 7.6.2, 7.4.0 through 7.4.4, 7.2.0 through 7.2.7, 7.0.0 through 7.0.8, FortiNDR versions 7.6.0, 7.4.0 through 7.4.7, 7.2.0 through 7.2.4, 7.0.0 through 7.0.6, FortiCamera versions 2.1.0 through 2.1.3, 2.0 all versions, 1.1 all versions, allows a remote unauthenticated attacker to execute arbitrary code or commands via sending HTTP requests with specially crafted hash cookie.",Fortinet,Non disponible,"7.6.0, 7.4.0, 7.2.0, 7.0.0"
Vulnérabilité dans les produits Fortinet (13 mai 2025),Alerte,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-32756,9.6,CWE-121,0.205810000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-006/,"A stack-based buffer overflow vulnerability [CWE-121] in Fortinet FortiVoice versions 7.2.0, 7.0.0 through 7.0.6, 6.4.0 through 6.4.10, FortiRecorder versions 7.2.0 through 7.2.3, 7.0.0 through 7.0.5, 6.4.0 through 6.4.5, FortiMail versions 7.6.0 through 7.6.2, 7.4.0 through 7.4.4, 7.2.0 through 7.2.7, 7.0.0 through 7.0.8, FortiNDR versions 7.6.0, 7.4.0 through 7.4.7, 7.2.0 through 7.2.4, 7.0.0 through 7.0.6, FortiCamera versions 2.1.0 through 2.1.3, 2.0 all versions, 1.1 all versions, allows a remote unauthenticated attacker to execute arbitrary code or commands via sending HTTP requests with specially crafted hash cookie.",Fortinet,Non disponible,"7.6.0, 7.4.0, 7.2.0, 7.1.0, 7.0.0, 1.5.0, 1.4.0, 1.3.0, 1.2.0, 1.1.0"
Vulnérabilité dans les produits Fortinet (13 mai 2025),Alerte,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-32756,9.6,CWE-121,0.205810000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-006/,"A stack-based buffer overflow vulnerability [CWE-121] in Fortinet FortiVoice versions 7.2.0, 7.0.0 through 7.0.6, 6.4.0 through 6.4.10, FortiRecorder versions 7.2.0 through 7.2.3, 7.0.0 through 7.0.5, 6.4.0 through 6.4.5, FortiMail versions 7.6.0 through 7.6.2, 7.4.0 through 7.4.4, 7.2.0 through 7.2.7, 7.0.0 through 7.0.8, FortiNDR versions 7.6.0, 7.4.0 through 7.4.7, 7.2.0 through 7.2.4, 7.0.0 through 7.0.6, FortiCamera versions 2.1.0 through 2.1.3, 2.0 all versions, 1.1 all versions, allows a remote unauthenticated attacker to execute arbitrary code or commands via sending HTTP requests with specially crafted hash cookie.",Fortinet,Non disponible,"2.1.0, 2.0.0, 1.1.0"
Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (EPMM) (14 mai 2025),Alerte,"Wed, 14 May 2025 00:00:00 +0000",CVE-2025-4427,5.3,CWE-288,0.918490000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-007/,An authentication bypass in the API component of Ivanti Endpoint Manager Mobile 12.5.0.0 and prior allows attackers to access protected resources without proper credentials via the API.,Ivanti,Non disponible,
Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (EPMM) (14 mai 2025),Alerte,"Wed, 14 May 2025 00:00:00 +0000",CVE-2025-4428,7.2,CWE-94,0.639030000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-007/,Remote Code Execution in API component in Ivanti Endpoint Manager Mobile 12.5.0.0 and prior on unspecified platforms allows authenticated attackers to execute arbitrary code via crafted API requests.,Ivanti,Non disponible,
Incidents de sécurité dans les pare-feux SonicWall (05 août 2025),Alerte,"Tue, 05 Aug 2025 00:00:00 +0000",CVE-2024-40766,Non disponible,CWE-284,0.070430000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-011/,"An improper access control vulnerability has been identified in the SonicWall SonicOS management access, potentially leading to unauthorized resource access and in specific conditions, causing the firewall to crash. This issue affects SonicWall Firewall Gen 5 and Gen 6 devices, as well as Gen 7 devices running SonicOS 7.0.1-5035 and older versions.",SonicWall,Non disponible,"5.9.2.14-12o and older versions, 6.5.4.14-109n and older versions, 7.0.1-5035 and older versions"
Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (26 août 2025),Alerte,"Tue, 26 Aug 2025 00:00:00 +0000",CVE-2025-7775,Non disponible,CWE-119,0.190770000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-012/,"Memory overflow vulnerability leading to Remote Code Execution and/or Denial of Service in NetScaler ADC and NetScaler Gateway when NetScaler is configured as Gateway (VPN virtual server, ICA Proxy, CVPN, RDP Proxy) or AAA virtual server

(OR)

NetScaler ADC and NetScaler Gateway 13.1, 14.1, 13.1-FIPS and NDcPP: LB virtual servers of type (HTTP, SSL or HTTP_QUIC) bound with IPv6 services or servicegroups bound with IPv6 servers 

(OR)

NetScaler ADC and NetScaler Gateway 13.1, 14.1, 13.1-FIPS and NDcPP: LB virtual servers of type (HTTP, SSL or HTTP_QUIC) bound with DBS IPv6 services or servicegroups bound with IPv6 DBS servers

(OR)

CR virtual server with type HDX",NetScaler,Non disponible,"14.1, 13.1, 13.1 FIPS and NDcPP, 12.1 FIPS and NDcPP"
